epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,73.3142,0.69392,0.87984,0.73994,0.82223,0,0.86003,0.81904,0.90072,0.75169,0.86003,0.81904,0.90041,0.70667,0.64964,1.1243,0.83501,0.88159,0,0.000332296,0.000332296,0.000332296
29,75.8439,0.65535,0.86123,0.70111,0.82238,0,0.86,0.85993,0.91495,0.75177,0.85873,0.86258,0.91518,0.69644,0.69778,1.2258,0.75452,0.8967,0,0.000318158,0.000318158,0.000318158
30,78.3597,0.67051,0.86013,0.70205,0.82759,0,0.84959,0.83839,0.91018,0.76413,0.84959,0.83839,0.91009,0.71021,0.62346,1.12271,0.81044,0.87442,0,0.000304021,0.000304021,0.000304021
31,80.9311,0.67913,0.8832,0.69808,0.82484,0,0.81759,0.82609,0.88256,0.73883,0.81759,0.82609,0.88315,0.68151,0.64188,1.14033,0.88086,0.88681,0,0.000289884,0.000289884,0.000289884
32,83.4684,0.66201,0.84089,0.67468,0.8214,0,0.84499,0.87082,0.90516,0.75635,0.84499,0.87082,0.90541,0.69667,0.66229,1.15892,0.78127,0.89294,0,0.000275747,0.000275747,0.000275747
33,86.0712,0.67581,0.87327,0.68036,0.82117,0,0.86695,0.83392,0.89969,0.75922,0.863,0.83134,0.89989,0.69785,0.63578,1.11652,0.85908,0.88342,0,0.00026161,0.00026161,0.00026161
34,88.6193,0.65905,0.84416,0.66575,0.81821,0,0.84363,0.85618,0.90965,0.76304,0.84363,0.85618,0.90933,0.71749,0.63564,1.0995,0.77569,0.88702,0,0.000247472,0.000247472,0.000247472
35,91.1467,0.68184,0.87557,0.66258,0.82098,0,0.86568,0.88137,0.92377,0.76005,0.8644,0.87941,0.9237,0.70315,0.70319,1.21983,0.73994,0.90194,0,0.000233335,0.000233335,0.000233335
36,93.677,0.65371,0.8546,0.66274,0.81606,0,0.84452,0.87418,0.91524,0.77507,0.84328,0.87222,0.91554,0.71157,0.61668,1.12088,0.75503,0.87843,0,0.000219198,0.000219198,0.000219198
37,96.1813,0.67738,0.85768,0.65968,0.81378,0,0.81363,0.85273,0.90956,0.7554,0.81363,0.85273,0.90956,0.68561,0.65501,1.2326,0.79865,0.88255,0,0.000205061,0.000205061,0.000205061
